section,path_or_pattern,url_count,codebase,rendering,params_generation,data_source,indexable,in_live_sitemap,has_title,has_description,has_canonical,has_jsonld,approx_main_content_words,notes
live-legacy,/,1,mybuddymaid/ static,static-file,n/a,seo-generator templates + data/*.json,yes,yes,yes,yes,yes,yes,~2150,"Homepage. LocalBusiness (Bengaluru street address 175 Chandra Layout 560040) + OfferCatalog + FAQPage + GeoCoordinates JSON-LD; hero content JS-gated (.reveal opacity:0); 715KB hero-new.png LCP; claims 12000+ families"
live-legacy,/{service}-service-in-{locality-or-city},3444,mybuddymaid/ static,static-file,generated by seo-generator/generate.js,templates + cities.json (532 localities embedded as arrays inside the 42 city objects; no separate localities.json),yes,partial (1332 of 3444),yes,yes,yes,yes,~450-1114,"6 services (maid/full-time-maid/cook/nanny/elderly-care/postnatal-care) x 574 locations (42 cities + 532 localities). Sitemap covers only cook (574) + elderly-care (571) + full-time-maid (187); maid/nanny/postnatal families (574 each) NOT in sitemap. Locality copy = 2 slot-fill paragraphs + generic pan-India FAQs. Per-city LocalBusiness schema on the 252 city rows. Internal links use .html; canonicals are clean"
live-legacy,/best-{service}-service-in-{city},252,mybuddymaid/ static,static-file,seo-generator,templates + cities.json,yes,yes,yes,yes,yes,yes,~600-650,"6 services x 42 cities. BreadcrumbList (.html item URLs) + FAQPage. ~95% templated; self-awarded '#1/top-rated' claims inside FAQPage JSON-LD; visible FAQ price contradicts JSON-LD price on sampled page"
live-legacy,/domestic-help-salary-in-{city}-2026,42,mybuddymaid/ static,static-file,seo-generator,salary tables (identical pan-India),yes,yes,yes,yes,yes,yes,~500,"Same salary table everywhere with pan-India disclaimer; year-stamped slugs go stale in 2027"
live-legacy,/cities/{city},42,mybuddymaid/ static,static-file,seo-generator build-cities.js,cities.json,yes,yes,yes,yes,yes,yes,~400,"City hub pages for all 42 cities (34 outside Appendix B footprint)"
live-legacy,/state/{state},20,mybuddymaid/ static,static-file,seo-generator,cities.json,yes (not blocked),no,yes,yes,yes,yes,~300,"Orphaned from sitemap; visible title template bug 'Home Help Services in Delhi — 1 Cities'"
live-legacy,/blog/{slug},25,mybuddymaid/ static,static-file,seo-generator build-blogs.js,blogs.json,yes,yes,yes,yes,yes,yes,~450,"10 city guides (domestic-help-guide-{city}-2026) + 15 topical. BlogPosting + BreadcrumbList + one EMPTY ld+json script block (malformed)"
live-legacy,/blog-{slug} (flat legacy),3,mybuddymaid/ static,static-file,hand-made,static,yes,yes,yes,yes,yes,yes,~500,"blog-find-reliable-maid-delhi / blog-elderly-care-at-home-guide / blog-maid-vs-cook-vs-nanny; linked from next-app footer as extensionless slugs that 404 there"
live-legacy,/{service}-service (hubs),6,mybuddymaid/ static,static-file,seo-generator,services.json,yes,partial (2 of 6),yes,yes,yes,yes,~500,"Only /cook-service and /elderly-care-service in sitemap; maid/full-time-maid/nanny/postnatal hubs missing from sitemap"
live-legacy,"/cities /blog /services /salary-guides",4,mybuddymaid/ static,static-file,seo-generator,hub templates,yes,partial,yes,yes,yes,yes,~300-500,"CONFLICT: /services serves static services.html (indexable meta) but robots.txt Disallows /services and root vercel.json rewrites /services to /_app (filesystem wins). /salary-guides and /services not in sitemap"
live-legacy,comparison guides (/maid-vs-cook-which-to-hire etc.),7,mybuddymaid/ static,static-file,seo-generator,comparisons.json,yes,partial (1 of 7),yes,yes,yes,yes,~600,"verified-vs-unverified-maid / part-time-vs-full-time-maid / nanny-vs-daycare-india / maid-vs-cook-which-to-hire / how-to-verify-maid-background-india / home-help-hiring-checklist-india / elderly-care-home-vs-caregiver"
live-spa,"/home /auth /splash /onboarding /pricing /profile /bookings /terms /services /services/:id",10,app/ Vite SPA via /_app rewrite,client (empty #root shell),root vercel.json rewrites,Supabase,no (noindex+robots disallow),no,static only,static only,no,no,0,"Auth-gated booking app. noindex nofollow meta; robots.txt disallows. NOTE: /services actually serves static services.html (filesystem beats rewrite); booking flow inserts into Supabase bookings table + send-booking-email edge fn; WhatsApp/tel 9355114869"
live-assets,"/robots.txt /sitemap.xml /ads.txt /styles.css /script.js + 13 images",~20,mybuddymaid/ static,static-file,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"sitemap.xml: single urlset 1702 clean URLs all lastmod 2026-08-03; ads.txt AdSense pub-4135055194908677; styles.css/script.js unhashed but cached immutable 1yr"
next-app,/,1,next-app,SSG shell + client iframe,static,public/_landing/index.html via iframe,yes by directives,yes (its own sitemap.ts),yes,yes,yes,yes,~0 own words,"NOT DEPLOYED. Homepage = 'use client' iframe of /_landing/index.html; own HTML has ~0 words and 0 links; next-app/vercel.json X-Frame-Options DENY blocks the iframe; iframe's relative assets 404 under /_landing/"
next-app,/{service-slug} (6 hubs),6,next-app,SSG generateStaticParams,generateStaticParams,data/services.ts + data/cities.ts,yes,yes,yes,yes,yes,yes,~390 (~120 unique),"Title double-suffix bug '— MyBuddyMaid — MyBuddyMaid'; links all 41 city pages per service"
next-app,/best-{service}-in-{city},246,next-app,SSG generateStaticParams,generateStaticParams (6 prefixes x 41 cities),"data/cities.ts (41 cities), data/services.ts, city-service-faqs.ts",yes,yes,yes,yes,yes,yes,~600-650 (95% template),"Per-city LocalBusiness JSON-LD for all 41 cities incl. 32 non-operational expansion cities; identical Rs10k-25k cost table on every city AND service; postnatal Offer price falls back to fabricated '3999'; unknown slugs notFound() = real 404"
next-app,"/cities /about-us /contact-us /privacy-policy /terms-of-service",5,next-app,SSG,static,hard-coded JSX,yes but ORPHANS (0 internal inlinks),yes,yes,yes,yes,partial,~130-950,"All five are sitemap-only orphans; privacy/terms have no JSON-LD; footer links 3 nonexistent blog slugs sitewide"
next-app,/maintenance,1,next-app,client component,static,lib/maintenance.ts,yes — DANGEROUS (no noindex),no,no,no,no,no,~150,"isMaintenanceActive HARD-CODED true; proxy.ts rewrites EVERY dot-less path here at HTTP 200 — all 258 sitemap URLs would serve duplicate maintenance content if deployed"
next-app,"/sitemap.xml /robots.txt",2,next-app,SSG route,static,"sitemap.ts (258 URLs, lastmod=build date, duplicated prefix map) + robots.ts",n/a,n/a,n/a,n/a,n/a,n/a,n/a,"robots.ts disallows /onboarding /pricing which do not exist as routes; does not disallow /_landing or /_spa"
next-app,"SPA rewrites /home /auth/* /splash /bookings /profile /services/*",~7,next-app,rewrite to public/_spa/index.html,rewrite,committed hand-built Vite bundle,no (noindex meta),no,static only,static only,no,no,0,"Rewrite gaps: /pricing /onboarding /terms NOT rewritten — hard refresh falls into [slug] 404; _spa bundle is out-of-band build (base=/_spa/) no repo script reproduces"
next-app,"/_landing/index.html /_spa/index.html + public assets",~20,next-app,static-file,static,copies of legacy assets,_landing crawlable (canonical to /); _spa noindex,no,yes,yes,partial,partial,~2000 (_landing),"_landing carries LocalBusiness with aggregateRating 4.9 / 500 reviews (unverifiable) + OfferCatalog prices CONTRADICTING data/services.ts; legacy .html redirects in next-app/vercel.json cover single-segment paths only"
spa-source,"/ (shell) /auth /terms /splash /onboarding + protected /home /services /services/:serviceId /bookings /pricing /profile (+ * catch-all redirects to /home)",11,app/ (react-router v7),client-only,client routes,"Supabase (profiles/bookings/user_plans), constants.js",no by design,no,static shell only,static shell only,no,no,0,"Booking flow: auth + onboarding gate then client INSERT into bookings + send-booking-email edge fn. NO city/locality/pincode input — only a 29-entry INDIAN_STATES dropdown stored in a column named 'city' (default 'Delhi'). Prices hard-coded in constants.js. PURCHASES_PAUSED=true"
