city,type,target,url,contact,status,link_target,anchor_theme,notes,updated
delhi,RWA / housing society,,,,prospect,https://mybuddymaid.in/delhi,domestic help in Delhi,a vetted vendor listing for residents; offer the society a verified-helper briefing,2026-09-14
delhi,Corporate HR / relocation,,,,prospect,https://mybuddymaid.in/delhi,domestic help in Delhi,"a domestic-help onboarding guide for relocating employees, hosted on their intranet or benefits page",2026-09-14
delhi,Parenting blog,,,,prospect,https://mybuddymaid.in/delhi,domestic help in Delhi,the nanny and babysitter guides; a guest column on choosing child care,2026-09-14
delhi,Real-estate / moving blog,,,,prospect,https://mybuddymaid.in/delhi,domestic help in Delhi,"the city guide as the ""setting up your home"" resource",2026-09-14
delhi,Local press,,,,prospect,https://mybuddymaid.in/delhi,domestic help in Delhi,"the data story below, with the real price bands",2026-09-14
delhi,Forum / Q&A,,,,prospect,https://mybuddymaid.in/delhi,domestic help in Delhi,answer the actual question in full; link only when it genuinely helps; never anchor-text spam,2026-09-14
noida,RWA / housing society,,,,prospect,https://mybuddymaid.in/noida,domestic help in Noida,a vetted vendor listing for residents; offer the society a verified-helper briefing,2026-09-14
noida,Corporate HR / relocation,,,,prospect,https://mybuddymaid.in/noida,domestic help in Noida,"a domestic-help onboarding guide for relocating employees, hosted on their intranet or benefits page",2026-09-14
noida,Parenting blog,,,,prospect,https://mybuddymaid.in/noida,domestic help in Noida,the nanny and babysitter guides; a guest column on choosing child care,2026-09-14
noida,Real-estate / moving blog,,,,prospect,https://mybuddymaid.in/noida,domestic help in Noida,"the city guide as the ""setting up your home"" resource",2026-09-14
noida,Local press,,,,prospect,https://mybuddymaid.in/noida,domestic help in Noida,"the data story below, with the real price bands",2026-09-14
noida,Forum / Q&A,,,,prospect,https://mybuddymaid.in/noida,domestic help in Noida,answer the actual question in full; link only when it genuinely helps; never anchor-text spam,2026-09-14
gurgaon,RWA / housing society,,,,prospect,https://mybuddymaid.in/gurgaon,domestic help in Gurgaon,a vetted vendor listing for residents; offer the society a verified-helper briefing,2026-09-14
gurgaon,Corporate HR / relocation,,,,prospect,https://mybuddymaid.in/gurgaon,domestic help in Gurgaon,"a domestic-help onboarding guide for relocating employees, hosted on their intranet or benefits page",2026-09-14
