serve?,signal,name,locality,city,kind,pincode,source,licence,fact:Towers or blocks,fact:Approximate homes,fact:Builder,fact:Possession year,fact:Typical flat sizes,fact:Helper entry process,fact:Helper ID card issued by,fact:Service lift for helpers
y,1 booking · last 2026-09-15,Block C,sector-45,gurgaon,society,122003,customer request,operator-supplied,Block C,about 450 plots / floors,HUDA / Private developers,2000–2005,"3 and 4 BHK builder floors, 1,500–2,500 sq ft",Colony gate check / Open entry,RWA (Optional),No
y,,"A Block Extension, DLF City Phase 1",dlf-phase-1,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Block A Ext,about 300 plots / floors,DLF,1990–1995,"3, 4 and 5 BHK independent floors, 2,000–4,500 sq ft",Colony gate barrier / Security guard check,DLF Qutab Enclave RWA,No
y,,Chakarpur,dlf-phase-1,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Village settlement,"about 2,000 homes",Private / Self-built,Traditional / 1990s onward,"1, 2 and 3 BHK independent floors / rooms",Open entry,None,No
y,,DLF Hamilton Court,dlf-phase-1,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,6 towers,264 flats,DLF,2003,"3 and 4 BHK, 2,540–4,500 sq ft",Security app (MyGate) approval & guard register,Condominium Association / Estate Office,Yes
y,,DLF I,dlf-phase-1,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Blocks A–H,"about 3,500 homes",DLF,1985–1995,"3, 4 and 5 BHK villas and builder floors, 1,800–5,000 sq ft",Sector gate security check,DLF Phase 1 RWA,No
y,,DLF Iv,dlf-phase-1,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Blocks A–H,"about 3,000 homes",DLF,1992–1998,"3 and 4 BHK independent floors, 1,800–4,000 sq ft",Sector gate security check,DLF Phase 4 RWA,No
y,,DLF Phase 1 Block F,dlf-phase-1,gurgaon,landmark,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Block F,about 400 plots / floors,DLF,1990–1995,"3, 4 and 5 BHK independent floors, 2,200–4,500 sq ft",Block gate security check,DLF Phase 1 RWA,No
y,,DLF Phase 1-A Block,dlf-phase-1,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Block A,about 500 plots / floors,DLF,1985–1992,"3, 4 and 5 BHK villas and floors, 2,000–5,000 sq ft",Block gate security check,DLF Phase 1 RWA,No
y,,HUDA,dlf-phase-1,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Plotted sectors,"about 1,500 plots / floors",HUDA,1990s,"2, 3 and 4 BHK builder floors, 1,200–3,000 sq ft",Open entry / Sector gate check,Sector RWA,No
y,,HUDA Sector 27,dlf-phase-1,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Sector 27 blocks,"about 1,200 plots / floors",HUDA,1995–2000,"3 and 4 BHK builder floors, 1,500–3,500 sq ft",Sector barrier check,Sector 27 RWA,No
y,,Ivy,dlf-phase-1,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,7 towers,156 flats,Silverglades,2008,"3 and 4 BHK plus 5 BHK penthouses, 3,100–7,800 sq ft",Security app (MyGate) approval & biometric/guard pass,The Ivy Condominium Association,Yes
y,,Janpratinidhi Apartments,dlf-phase-1,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,6 towers,168 flats,Janpratinidhi CGHS,2004,"3 and 4 BHK, 1,630–2,770 sq ft",Gate pass & resident confirmation via intercom/app,Janpratinidhi CGHS RWA,Yes
y,,Perch Arbor Golf Course Road,dlf-phase-1,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,1 building,about 25 suites,Perch Serviced Apartments,2015,"1 and 2 BHK serviced suites, 500–1,100 sq ft",Front desk reception registration,Facility Management,No
y,,Sahara Grace,dlf-phase-1,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,3 towers,207 flats,Sahara,2008,"3 and 4 BHK plus penthouses, 2,906–5,530 sq ft",Security app approval & biometric entry gate,Sahara Grace Condominium Association,Yes
y,,Saraswati Vihar,dlf-phase-1,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Blocks A–D,about 800 plots / floors,HUDA / Private builders,1995–2000,"2, 3 and 4 BHK builder floors, 1,200–2,500 sq ft",Colony gate security check,Saraswati Vihar RWA,No
y,,Sikanderpur,dlf-phase-1,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Village settlement,"about 3,000 homes",Private / Self-built,Traditional / 1990s onward,"1, 2 and 3 BHK independent floors / rooms",Open entry,None,No
y,,Sikanderpur RMRG Station,dlf-phase-1,gurgaon,metro-station,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,N/A (Metro Station),N/A,Rapid Metro Gurgaon / DMRC,2013,N/A,N/A (Public Transit),N/A,N/A
y,,Sushant Lok I,dlf-phase-1,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Blocks A–C,"about 4,000 homes",Ansal API,1990–1998,"3, 4 and 5 BHK builder floors & villas, 1,800–4,500 sq ft",Colony gate security check,Sushant Lok 1 RWA,No
y,,Bhawna Apartments,golf-course-road,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,1 tower,48 flats,Bhawna CGHS,2009,"4 BHK, 3,000–3,250 sq ft",Gate register entry & resident intercom confirmation,Society RWA,Yes
y,,Carlton Estate,golf-course-road,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,5 towers,about 480 flats,DLF,2003,"3 and 4 BHK, 1,267–1,740 sq ft",Security app (MyGate) pass & entry register,Estate Management / DLF Services,Yes
y,,DLF 5,golf-course-road,gurgaon,landmark,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Township (multiple condominiums),"about 6,000 homes",DLF,2002–2020,"3, 4 and 5 BHK luxury residences, 1,500–11,000 sq ft",Condominium specific gate pass / MyGate app,DLF Services / Respective Condominium RWA,Yes
y,,DLF Golf Links,golf-course-road,gurgaon,landmark,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,"Golf enclave (Aralias, Magnolias, Camellias)","about 1,300 super-luxury residences",DLF,2008–2020,"4, 5 and 6 BHK penthouses and apartments, 5,800–12,000 sq ft",Multi-tier biometric security & RFID card entry,DLF Golf Links Estate Management,Yes
y,,Galaxy Apartments,golf-course-road,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,8 towers,256 flats,Galaxy CGHS,2007,"3 BHK, 1,750–2,550 sq ft",Guard register entry & resident phone confirmation,Galaxy CGHS RWA,Yes
y,,Hextax Commune,golf-course-road,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,3 towers,about 108 flats,Hextax CGHS,2008,"3 and 4 BHK, 2,250–2,750 sq ft",Main gate register & resident approval,Hextax CGHS RWA,Yes
y,,Palm Spring,golf-course-road,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,6 towers and 40 villas,about 260 homes,Emaar,2007,"3 and 4 BHK plus penthouses, 2,560–5,250 sq ft",Security app approval & guard pass,The Palm Springs Condominium RWA,Yes
y,,Princeton Estate,golf-course-road,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,9 towers,about 900 flats,DLF,2002,"2, 3 and 4 BHK, 964–1,562 sq ft",Security app (MyGate) approval & guard register,Princeton Estate Condominium RWA,Yes
y,,Royalton Tower,golf-course-road,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,1 tower,76 flats,DLF,2009,"4 BHK, about 2,940 sq ft",Security app approval & reception check-in,Royalton Tower Condominium RWA,Yes
